precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition,rate,seed,clean_f1,clean_roc_auc,abs_f1_drop,abs_auc_drop
0.7193575655114116,0.8681458811527671,0.7867791517392811,0.8058252427184466,0.5311603192171602,5569,3921,1648,0.624640270958221,0.7942162411502487,1,10,Logistic Regression,missing_5pct,0.05,42,0.8250753985351141,0.6951316102242592,0.03829624679583299,0.07049133926603812
0.7204164011047376,0.8648304004080591,0.7860454334724154,0.7985436893203883,0.5331433555438354,5569,3921,1648,0.6288210667974041,0.79920634423353,1,10,Logistic Regression,missing_5pct,0.05,43,0.8250753985351141,0.6951316102242592,0.039029965062698735,0.06631054342685505
0.715559329229463,0.8597296608008161,0.781047265987025,0.8131067961165048,0.5233114323421556,5569,3921,1648,0.6253492830489548,0.800475096679871,1,10,Logistic Regression,missing_5pct,0.05,44,0.8250753985351141,0.6951316102242592,0.04402813254808913,0.06978232717530441
0.7156652360515021,0.8505483295077786,0.7772986831371635,0.804004854368932,0.5232717375694232,5569,3921,1648,0.6125715898708225,0.7927269022508915,1,10,Logistic Regression,missing_5pct,0.05,45,0.8250753985351141,0.6951316102242592,0.047776715397950587,0.08256002035343668
0.7142857142857143,0.8556490691150217,0.778602924112323,0.8143203883495146,0.5206643403827536,5569,3921,1648,0.6038565367463719,0.7808925382108338,1,10,Logistic Regression,missing_5pct,0.05,46,0.8250753985351141,0.6951316102242592,0.04647247442279112,0.09127507347788733
0.7171602984399729,0.8089773017087478,0.7603068072866731,0.7591019417475728,0.5249376799805875,5569,3921,1648,0.5985065634881136,0.7790862017628241,1,10,Logistic Regression,missing_10pct,0.1,42,0.8250753985351141,0.6951316102242592,0.06476859124844103,0.09662504673614558
0.7208448117539027,0.8008161183371589,0.7587290080947203,0.7378640776699029,0.531476020333628,5569,3921,1648,0.6018994993351705,0.7821892719592445,1,10,Logistic Regression,missing_10pct,0.1,43,0.8250753985351141,0.6951316102242592,0.06634639044039381,0.09323211088908867
0.7142857142857143,0.8071920428462127,0.7579022988505747,0.7682038834951457,0.5194940796755335,5569,3921,1648,0.6008081639070675,0.7824664321088505,1,10,Logistic Regression,missing_10pct,0.1,44,0.8250753985351141,0.6951316102242592,0.06717309968453944,0.0943234463171917
0.7145758122743683,0.807702116806937,0.7582904345744044,0.7675970873786407,0.5200525147141482,5569,3921,1648,0.5860098288280927,0.7731751641567648,1,10,Logistic Regression,missing_10pct,0.1,45,0.8250753985351141,0.6951316102242592,0.06678496396070976,0.10912178139616646
0.7094211123723042,0.7969905636317266,0.7506605813115542,0.7766990291262136,0.5101457672527565,5569,3921,1648,0.5782948054166883,0.7656620033775194,1,10,Logistic Regression,missing_10pct,0.1,46,0.8250753985351141,0.6951316102242592,0.07441481722355991,0.11683680480757086
