precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition
0.707268442994381,0.9951542973731191,0.8268700995973723,0.9799757281553398,0.5075892846088896,5569,3921,1648,0.6862890386096276,0.8524911877763361,1,10,Logistic Regression,logs_unavailable
0.7456392139545154,0.861259882682989,0.7992899408284023,0.6990291262135923,0.5811153782346984,5569,3921,1648,0.6796504167254738,0.8367674033679626,1,10,Random Forest,logs_unavailable
0.7440053285968028,0.854628921193573,0.7954896142433234,0.6996359223300971,0.577496499431738,5569,3921,1648,0.6957582924159925,0.8616482826961369,1,10,XGBoost,logs_unavailable
0.7238037552998183,0.9143075745983168,0.8079783637592968,0.8300970873786407,0.542105243609838,5569,3921,1648,0.6729297744532181,0.8495927992623163,1,10,Compact MLP,logs_unavailable
0.7050777590406595,0.9874048806087641,0.8226934849147355,0.9812967581047382,0.5030540612520129,5415,3811,1604,0.6801822523198695,0.8515743642408153,2,3,Logistic Regression,logs_unavailable
0.7551066217732885,0.8827079506691157,0.8139366077909509,0.6801745635910225,0.6012666935390466,5415,3811,1604,0.6716502989443212,0.8128611712419026,2,3,Random Forest,logs_unavailable
0.7582292849035187,0.8764103909734978,0.813047711781889,0.6639650872817955,0.6062226518458511,5415,3811,1604,0.7006635536584935,0.8606792382278219,2,3,XGBoost,logs_unavailable
0.7307771593485879,0.9302020467069011,0.8185176633571923,0.814214463840399,0.557993791433251,5415,3811,1604,0.6606895252029987,0.828755813073332,2,3,Compact MLP,logs_unavailable
0.6734268385140257,0.9952380952380953,0.803300926972643,0.9734463276836158,0.5108958837772397,5340,3570,1770,0.6959823703492696,0.8370856222792488,3,9,Logistic Regression,logs_unavailable
0.7357549857549858,0.8680672268907563,0.7964533538936006,0.6288135593220339,0.6196268337843612,5340,3570,1770,0.726434189495007,0.8361094031571712,3,9,Random Forest,logs_unavailable
0.7469615945551774,0.8607843137254902,0.7998438313378449,0.588135593220339,0.6363243602525757,5340,3570,1770,0.7564788175157069,0.8752522272174966,3,9,XGBoost,logs_unavailable
0.7124125874125874,0.9131652661064426,0.8003928308372207,0.7435028248587571,0.5848312206238427,5340,3570,1770,0.6871489499754704,0.8154085732939481,3,9,Compact MLP,logs_unavailable
0.7164006921745818,0.9880668257756563,0.8305840392331698,0.9553108808290155,0.5163779724733204,5315,3771,1544,0.6898645649990451,0.8539967846682881,4,8,Logistic Regression,logs_unavailable
0.7672761814295892,0.8568019093078759,0.8095715359559008,0.6347150259067358,0.6110434417005701,5315,3771,1544,0.6863700582437829,0.8292436081308554,4,8,Random Forest,logs_unavailable
0.7624070966195157,0.843277645186953,0.8008058423570888,0.6418393782383419,0.6007191334743055,5315,3771,1544,0.6967328384191878,0.8526945299073451,4,8,XGBoost,logs_unavailable
0.725042662116041,0.9013524264120922,0.8036410923276983,0.8348445595854922,0.5332539334133,5315,3771,1544,0.6502974534317666,0.8026405297778358,4,8,Compact MLP,logs_unavailable
0.6465204957102002,0.9929721815519765,0.7831408775981524,0.9962385814078453,0.49836680007206563,5276,3415,1861,0.7066636350833908,0.8289247529185682,5,15,Logistic Regression,logs_unavailable
0.7193493566399611,0.8676427525622254,0.7865675603928856,0.6211714132186996,0.6232356696717629,5276,3415,1861,0.7196035129651324,0.811582887444983,5,15,Random Forest,logs_unavailable
0.7215839648007822,0.8644216691068815,0.7865707434052758,0.6120365394948952,0.6261925648059932,5276,3415,1861,0.7384202828656015,0.8452745987532579,5,15,XGBoost,logs_unavailable
0.6772085178157284,0.9405563689604686,0.7874479038980142,0.8226759806555616,0.5589401941524536,5276,3415,1861,0.7062191252518562,0.8184384962795819,5,15,Compact MLP,logs_unavailable
0.7852336089213613,0.9917435648372996,0.8764888936581178,0.96877710320902,0.5114832308141398,5271,4118,1153,0.6391018299286402,0.8777175462765414,6,13,Logistic Regression,logs_unavailable
0.8167956837907577,0.8455560951918407,0.8309270970051307,0.6773633998265395,0.5840963476826506,5271,4118,1153,0.6455244611792537,0.8559131114747002,6,13,Random Forest,logs_unavailable
0.8208025830258303,0.8642544924720739,0.841968299030045,0.6738941890719862,0.5951801517000439,5271,4118,1153,0.7009269481770847,0.9018177321957996,6,13,XGBoost,logs_unavailable
0.801307740982915,0.9225352112676056,0.8576588779771983,0.8169991326973114,0.5527680392851472,5271,4118,1153,0.6585655933988956,0.8796848668533963,6,13,Compact MLP,logs_unavailable
0.7579250720461095,0.9939531368102796,0.8600392413342054,0.982839313572543,0.5055569116188684,5251,3969,1282,0.6915755844141551,0.8758182913193093,7,11,Logistic Regression,logs_unavailable
0.792018244013683,0.8750314940791132,0.831457984199186,0.7113884555382215,0.5818215192704458,5251,3969,1282,0.6589435913037429,0.8483418168840292,7,11,Random Forest,logs_unavailable
0.7874465049928673,0.8344671201814059,0.8102752293577982,0.6973478939157566,0.5685596131328247,5251,3969,1282,0.6647412532933668,0.8727013123915344,7,11,XGBoost,logs_unavailable
