precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,model,fold_id
0.7022012006549027,0.9844427441979087,0.819706944149501,0.9933252427184466,0.49555875073973105,5569,3921,1648,0.5325336964515196,0.7211478030366927,Logistic Regression,1
0.7040761357514814,1.0,0.8263435194942044,1.0,0.5,5569,3921,1648,0.5200936796636484,0.712660947792582,Random Forest,1
0.7040761357514814,1.0,0.8263435194942044,1.0,0.5,5569,3921,1648,0.5201671111243169,0.7126631965644202,XGBoost,1
0.7028054298642534,0.9903085947462382,0.822146940503917,0.9963592233009708,0.4969746857226337,5569,3921,1648,0.510552541951107,0.7165256420735836,Compact MLP,1
0.7006597549481621,0.9753345578588297,0.8154892496709083,0.9900249376558603,0.4926548101014847,5415,3811,1604,0.5314928697673292,0.720941050627108,Logistic Regression,2
0.7037857802400739,1.0,0.8261435074788641,1.0,0.5,5415,3811,1604,0.5066611384160956,0.7063338151357058,Random Forest,2
0.7037857802400739,1.0,0.8261435074788641,1.0,0.5,5415,3811,1604,0.5,0.7037857802400739,XGBoost,2
0.7081253743262128,0.9307268433482025,0.8043083900226757,0.9114713216957606,0.509627760826221,5415,3811,1604,0.5149007565054825,0.7109168300326673,Compact MLP,2
0.6686200378071834,0.9907563025210084,0.7984198645598194,0.9903954802259887,0.5001804111475099,5340,3570,1770,0.5353461836712086,0.6868768990995545,Logistic Regression,3
0.6685393258426966,1.0,0.8013468013468014,1.0,0.5,5340,3570,1770,0.5115205178116444,0.6730411743037209,Random Forest,3
0.6685393258426966,1.0,0.8013468013468014,1.0,0.5,5340,3570,1770,0.522145389229138,0.6785330894210027,XGBoost,3
0.634032634032634,0.0761904761904762,0.13603400850212552,0.08870056497175141,0.4937449556093624,5340,3570,1770,0.49527417746759717,0.6785279580498293,Compact MLP,3
0.7076747286231194,0.9854150092813577,0.8237641321214808,0.9941709844559585,0.4956220124126996,5315,3771,1544,0.5228803330021997,0.722036726531945,Logistic Regression,4
0.7095014111006586,1.0,0.8300682368478979,1.0,0.5,5315,3771,1544,0.5067715782979735,0.7121896592556454,Random Forest,4
0.7095014111006586,1.0,0.8300682368478979,1.0,0.5,5315,3771,1544,0.5150138499016904,0.7159140334176866,XGBoost,4
0.8863636363636364,0.031026252983293555,0.05995388162951576,0.009715025906735751,0.5106556135382789,5315,3771,1544,0.5296532852983568,0.7244737170330676,Compact MLP,4
0.6445470282746683,0.9812591508052708,0.7780357557464592,0.9930145083288554,0.4941223212382077,5276,3415,1861,0.5277767506409988,0.6642069256251183,Logistic Regression,5
0.6472706595905989,1.0,0.7858704406857668,1.0,0.5,5276,3415,1861,0.5105662740556526,0.6476597440697072,Random Forest,5
0.6472706595905989,1.0,0.7858704406857668,1.0,0.5,5276,3415,1861,0.5,0.6472706595905989,XGBoost,5
0.6478398731668649,0.9572474377745241,0.7727219004845763,0.9548629768941429,0.5011922304401906,5276,3415,1861,0.5188030018968375,0.656850484120324,Compact MLP,5
0.7782945736434108,0.975230694511899,0.8657038154774735,0.9921942758022549,0.49151820935482204,5271,4118,1153,0.5267445357613877,0.7927288947994829,Logistic Regression,6
0.7812559286662872,1.0,0.877196719565449,1.0,0.5,5271,4118,1153,0.5051381050004907,0.7833492075960876,Random Forest,6
