precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition,clean_f1,clean_roc_auc,abs_f1_drop,abs_auc_drop
0.7140992167101827,0.976536597806682,0.8249488311968114,0.9302184466019418,0.5231590756023701,5569,3921,1648,0.6951473952800826,0.8582516830254796,1,10,Logistic Regression,group_unavailable_snort,0.8250753985351141,0.6951316102242592,0.00012656733830274103,-1.5785055823447358e-05
0.7142058165548099,0.9770466717674062,0.8252019386106624,0.9302184466019418,0.5234141125827323,5569,3921,1648,0.6952679497750475,0.8575036081041324,1,10,Logistic Regression,group_unavailable_control_panel,0.8250753985351141,0.6951316102242592,-0.00012654007554824265,-0.0001363395507882892
0.7072153734590283,0.994899260392757,0.8267457878563103,0.9799757281553398,0.5074617661187086,5569,3921,1648,0.6860395728254385,0.8516785311585295,1,10,Logistic Regression,group_unavailable_relay_log,0.8250753985351141,0.6951316102242592,-0.0016703893211961196,0.009092037398820696
0.7175342980642736,0.9737311910226983,0.8262280891581909,0.9120145631067961,0.5308583139579511,5569,3921,1648,0.6962087081510314,0.8574069146257683,1,10,Logistic Regression,group_unavailable_relay_status,0.8250753985351141,0.6951316102242592,-0.0011526906230767686,-0.0010770979267722414
0.7086570477247502,0.9770466717674062,0.8214860083628176,0.9557038834951457,0.5106713941361303,5569,3921,1648,0.5781185389599939,0.7649650272735307,1,10,Logistic Regression,group_unavailable_pmu_voltage,0.8250753985351141,0.6951316102242592,0.003589390172296536,0.1170130712642653
0.7127539503386005,0.9663351185921959,0.8203962325430334,0.9265776699029126,0.5198787243446417,5569,3921,1648,0.6814269319051263,0.8497446977201578,1,10,Logistic Regression,group_unavailable_pmu_current,0.8250753985351141,0.6951316102242592,0.004679165992080736,0.013704678319132912
0.7094694178334562,0.9821474113746493,0.8238314258209434,0.9569174757281553,0.512614967823247,5569,3921,1648,0.684669522833238,0.8535708954052601,1,10,Logistic Regression,group_unavailable_freq_impedance,0.8250753985351141,0.6951316102242592,0.0012439727141707602,0.010462087391021169
0.7476718403547672,0.8599846977811783,0.799905112086348,0.6905339805825242,0.584725358599327,5569,3921,1648,0.682168287884753,0.8383940619406165,1,10,Random Forest,group_unavailable_snort,0.799905112086348,0.682168287884753,0.0,0.0
0.7476718403547672,0.8599846977811783,0.799905112086348,0.6905339805825242,0.584725358599327,5569,3921,1648,0.682168287884753,0.8383940619406165,1,10,Random Forest,group_unavailable_control_panel,0.799905112086348,0.682168287884753,0.0,0.0
0.7456392139545154,0.861259882682989,0.7992899408284023,0.6990291262135923,0.5811153782346984,5569,3921,1648,0.6796504167254738,0.8367674033679626,1,10,Random Forest,group_unavailable_relay_log,0.799905112086348,0.682168287884753,0.0006151712579456348,0.0025178711592792613
0.7478376580172987,0.8599846977811783,0.8,0.6899271844660194,0.5850287566575794,5569,3921,1648,0.6816545771709712,0.8380732821681022,1,10,Random Forest,group_unavailable_relay_status,0.799905112086348,0.682168287884753,-9.488791365208638e-05,0.000513710713781812
0.7120428518655338,0.9831675592960979,0.825923942153187,0.945995145631068,0.518586206832515,5569,3921,1648,0.5212902487972407,0.7104942299296764,1,10,Random Forest,group_unavailable_pmu_voltage,0.799905112086348,0.682168287884753,-0.026018830066839027,0.1608780390875123
0.7554033811256152,0.9002805406783984,0.8215033744472888,0.6935679611650486,0.6033562897566749,5569,3921,1648,0.6981076348910398,0.84791487519516,1,10,Random Forest,group_unavailable_pmu_current,0.799905112086348,0.682168287884753,-0.021598262360940867,-0.01593934700628674
0.7339743589743589,0.8760520275439939,0.7987443320544123,0.7554611650485437,0.5602954312477251,5569,3921,1648,0.6562329769005826,0.8195289149297371,1,10,Random Forest,group_unavailable_freq_impedance,0.799905112086348,0.682168287884753,0.0011607800319356487,0.025935310984170457
0.746971736204576,0.8492731446059678,0.7948442534908701,0.6844660194174758,0.5824035625942461,5569,3921,1648,0.6980697198059738,0.8624493236835935,1,10,XGBoost,group_unavailable_snort,0.7948442534908701,0.6980697198059738,0.0,0.0
0.746971736204576,0.8492731446059678,0.7948442534908701,0.6844660194174758,0.5824035625942461,5569,3921,1648,0.6980697198059738,0.8624493236835935,1,10,XGBoost,group_unavailable_control_panel,0.7948442534908701,0.6980697198059738,0.0,0.0
0.7440053285968028,0.854628921193573,0.7954896142433234,0.6996359223300971,0.577496499431738,5569,3921,1648,0.6957582924159925,0.8616482826961369,1,10,XGBoost,group_unavailable_relay_log,0.7948442534908701,0.6980697198059738,-0.0006453607524533611,0.0023114273899812465
0.7466905990576621,0.8487630706452436,0.7944616853664359,0.6850728155339806,0.5818451275556316,5569,3921,1648,0.694865662984725,0.8603375536284661,1,10,XGBoost,group_unavailable_relay_status,0.7948442534908701,0.6980697198059738,0.0003825681244341572,0.003204056821248802
0.7134538152610441,0.9061463912267279,0.7983372654757892,0.8658980582524272,0.5201241664871503,5569,3921,1648,0.5428987521758617,0.7310597151387502,1,10,XGBoost,group_unavailable_pmu_voltage,0.7948442534908701,0.6980697198059738,-0.0034930119849191366,0.15517096763011207
0.7373317498020586,0.9500127518490181,0.8302685835283629,0.8052184466019418,0.5723971526235382,5569,3921,1648,0.7257665346912197,0.8747521421863953,1,10,XGBoost,group_unavailable_pmu_current,0.7948442534908701,0.6980697198059738,-0.03542433003749279,-0.02769681488524589
