precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition,clean_f1,clean_roc_auc,abs_f1_drop,abs_auc_drop
0.720196640721016,0.8967100229533282,0.7988185845734409,0.8288834951456311,0.5339132639038486,5569,3921,1648,0.6779583980211111,0.8523441477311706,1,10,Logistic Regression,relay_loss_R1,0.8250753985351141,0.6951316102242592,0.02625681396167323,0.017173212203148047
0.71521268925739,0.7589900535577658,0.7364513734224202,0.7190533980582524,0.5199683277497567,5569,3921,1648,0.5689062565771066,0.7786077651846934,1,10,Logistic Regression,relay_loss_R2,0.8250753985351141,0.6951316102242592,0.08862402511269396,0.1262253536471526
0.7209723299715541,0.7110431012496812,0.7159732922444787,0.6547330097087378,0.5281550457704717,5569,3921,1648,0.5572234582024103,0.7521314793141156,1,10,Logistic Regression,relay_loss_R3,0.8250753985351141,0.6951316102242592,0.10910210629063544,0.13790815202184892
0.7078031212484994,0.7518490181076256,0.7291615137274301,0.7384708737864077,0.506689072160609,5569,3921,1648,0.5689404575313906,0.7735745137385814,1,10,Logistic Regression,relay_loss_R4,0.8250753985351141,0.6951316102242592,0.09591388480768404,0.12619115269286862
0.7365010799136069,0.9566437133384341,0.8322609274461948,0.8143203883495146,0.5711616624944598,5569,3921,1648,0.6904873991923003,0.8231180500172612,1,10,Random Forest,relay_loss_R1,0.799905112086348,0.682168287884753,-0.032355815359846885,-0.008319111307547256
0.7363013698630136,0.9321601632236675,0.8227349465391108,0.7942961165048543,0.5689320233594065,5569,3921,1648,0.683592579661915,0.8369909965125811,1,10,Random Forest,relay_loss_R2,0.799905112086348,0.682168287884753,-0.022829834452762876,-0.0014242917771619679
0.72775486152033,0.944912012241775,0.822237017310253,0.8410194174757282,0.5519462973830235,5569,3921,1648,0.6744148077442101,0.8300497418648937,1,10,Random Forest,relay_loss_R3,0.799905112086348,0.682168287884753,-0.022331905223905046,0.00775348014054289
0.710795902285264,0.9201734251466462,0.8020451261531621,0.8907766990291263,0.51469836305876,5569,3921,1648,0.5791687868163213,0.7827460621759114,1,10,Random Forest,relay_loss_R4,0.799905112086348,0.682168287884753,-0.0021400140668141887,0.1029995010684317
0.731576780568135,0.90640142820709,0.8096594145119034,0.7912621359223301,0.5575696461423799,5569,3921,1648,0.6880788627579154,0.8434270872031164,1,10,XGBoost,relay_loss_R1,0.7948442534908701,0.6980697198059738,-0.014815161021033307,0.009990857048058355
0.7573200992555831,0.7783728640652895,0.76770217582694,0.5934466019417476,0.592463131061771,5569,3921,1648,0.6848247425488346,0.8528721843900331,1,10,XGBoost,relay_loss_R2,0.7948442534908701,0.6980697198059738,0.027142077663930064,0.013244977257139134
