precision,recall,f1,specificity,fpr,accuracy,balanced_accuracy,mcc,brier,tn,fp,fn,tp,training_time_sec,inference_time_sec,latency_ms_per_record,roc_auc,average_precision,epochs,model,protocol,fold,heldout_run,test_records,train_records,test_attack_rate
0.7476718403547672,0.8599846977811783,0.799905112086348,0.3094660194174757,0.6905339805825242,0.6970730831388041,0.584725358599327,0.1970988930355546,0.20393512300233435,510,1138,549,3372,12.134751499863341,0.0316257500089705,0.0056788920827743755,0.682168287884753,0.8383940619406165,0,Random Forest,groupkfold,1,10,5569,72808,0.7040761357514814
0.7565177964180458,0.8510584034685029,0.8010081613058089,0.3483009708737864,0.6516990291262136,0.7022804812354103,0.5996796871711447,0.22422853437908571,0.20698070825092463,574,1074,584,3337,2.186206249985844,0.00794908287934959,0.0014273806570927615,0.6967465607148959,0.8608319931177246,0,XGBoost,groupkfold,1,10,5569,72808,0.7040761357514814
0.7052137831499188,0.9969395562356542,0.8260777683854607,0.00849514563106796,0.991504854368932,0.7044352666546957,0.5027173509333611,0.036390970380520256,0.20541588338920677,14,1634,12,3909,31.153988332953304,0.5407327918801457,0.09709692797273221,0.5510703815402748,0.7632229688239567,50,CNN,groupkfold,1,10,5569,72808,0.7040761357514814
0.7573844419391206,0.881395959065862,0.8146980354111084,0.32917705735660846,0.6708229426433915,0.7178208679593722,0.6052865082112352,0.2497264392617021,0.19661246999076637,528,1076,452,3359,11.998790540965274,0.03152837511152029,0.0058224146096990375,0.6750586960831979,0.8160605601010655,0,Random Forest,groupkfold,2,3,5415,72962,0.7037857802400739
0.7587099811676082,0.8457097874573603,0.7998510981511354,0.36097256857855364,0.6390274314214464,0.702123730378578,0.603341178017957,0.22950776189876443,0.20137194713577566,579,1025,588,3223,2.157558083999902,0.007063125027343631,0.0013043628859360351,0.7007028970475935,0.8620936493338087,0,XGBoost,groupkfold,2,3,5415,72962,0.7037857802400739
0.7038682213585046,0.997900813434794,0.82548296071196,0.0024937655860349127,0.9975062344139651,0.7030470914127424,0.5001972895104144,0.003831312180391892,0.20457347294429146,4,1600,8,3803,31.508153999922797,0.5093949581496418,0.09407109107103265,0.5627467345804997,0.7650989596812929,50,CNN,groupkfold,2,3,5415,72962,0.7037857802400739
0.7366039533222196,0.8663865546218488,0.7962414725189857,0.3751412429378531,0.6248587570621469,0.7035580524344569,0.6207638987798509,0.2773780577656984,0.19495196629213482,664,1106,477,3093,12.392570999916643,0.04260950000025332,0.007979307116152306,0.7273101330927851,0.8374361655885018,0,Random Forest,groupkfold,3,9,5340,73037,0.6685393258426966
0.7474496143319234,0.8414565826330532,0.7916721570694426,0.4265536723163842,0.5734463276836158,0.7039325842696629,0.6340051274747187,0.2923894788550856,0.19554464852531658,755,1015,566,3004,2.2001550409477204,0.007921166950836778,0.001483364597534977,0.7546132238206016,0.8753730854015358,0,XGBoost,groupkfold,3,9,5340,73037,0.6685393258426966
0.6687898089171974,1.0,0.8015267175572519,0.0011299435028248588,0.9988700564971752,0.6689138576779026,0.5005649717514125,0.02748990177031315,0.22136217663710267,2,1768,0,3570,31.28176554082893,0.5200581250246614,0.09738916198963697,0.5356547816866859,0.7047417533658812,50,CNN,groupkfold,3,9,5340,73037,0.6685393258426966
0.7677465459742735,0.854680456112437,0.8088844271552265,0.36852331606217614,0.6314766839378239,0.7134524929444968,0.6116018860873066,0.2487170972641163,0.19382277046095953,569,975,548,3223,13.356672291876748,0.03689400013536215,0.00694148638482825,0.6875480040615387,0.8304612503117248,0,Random Forest,groupkfold,4,8,5315,73062,0.7095014111006586
0.7674750356633381,0.8560063643595863,0.8093268145919519,0.36658031088082904,0.633419689119171,0.7138287864534337,0.6112933376202077,0.24868561777125298,0.19736598524757634,566,978,543,3228,2.162428207928315,0.007190458010882139,0.0013528613378893958,0.7046592621904554,0.8477903357210114,0,XGBoost,groupkfold,4,8,5315,73062,0.7095014111006586
0.7095014111006586,1.0,0.8300682368478979,0.0,1.0,0.7095014111006586,0.5,0.0,0.20707303161850643,0,1544,0,3771,31.586341249989346,0.5695933329407126,0.10716713695968251,0.5385289700647016,0.7259562148265899,50,CNN,groupkfold,4,8,5315,73062,0.7095014111006586
0.72139546230788,0.8658857979502196,0.7870641469257387,0.3863514239656099,0.6136485760343902,0.6967399545109931,0.6261186109579148,0.2895013041859711,0.203785813115997,719,1142,458,2957,12.046709458110854,0.03030829201452434,0.005744558759386721,0.720690634531884,0.8128033750966475,0,Random Forest,groupkfold,5,15,5276,73101,0.6472706595905989
0.7168704156479218,0.8585651537335286,0.7813457694870086,0.3777538957549704,0.6222461042450296,0.6889689158453374,0.6181595247442495,0.2704975109725371,0.20991810813131048,703,1158,483,2932,2.3192968340590596,0.00886979210190475,0.0016811584726885425,0.7367236714466553,0.8479258440408589,0,XGBoost,groupkfold,5,15,5276,73101,0.6472706595905989
0.6472037914691943,0.9997071742313324,0.7857307249712313,0.0,1.0,0.6470811220621683,0.4998535871156662,-0.010164045500983512,0.2320386368212229,0,1861,1,3414,31.50700099999085,0.5349868750199676,0.1014000900341106,0.4823711334528658,0.6560494292103974,50,CNN,groupkfold,5,15,5276,73101,0.6472706595905989
0.8177328316086547,0.8443419135502671,0.8308243727598567,0.32784041630529054,0.6721595836947094,0.7313602731929425,0.5860911649277788,0.1802447753618886,0.18529505312084996,378,775,641,3477,12.045354249887168,0.031197333009913564,0.00591867444695761,0.6486549015659888,0.8579116201920106,0,Random Forest,groupkfold,6,13,5271,73106,0.7812559286662872
0.8205307262569832,0.8559980573093735,0.8378892322319943,0.3313096270598439,0.6686903729401561,0.7412255738948966,0.5936538421846087,0.19942471287030145,0.17988895128730675,382,771,593,3525,2.12564970809035,0.007752957986667752,0.001470870420540268,0.693863001558112,0.8977101408560305,0,XGBoost,groupkfold,6,13,5271,73106,0.7812559286662872
0.7812559286662872,1.0,0.877196719565449,0.0,1.0,0.7812559286662872,0.5,0.0,0.17606545095890697,0,1153,0,4118,31.321116500068456,0.5014182499144226,0.09512772717025662,0.4790820618299624,0.7739246726870118,50,CNN,groupkfold,6,13,5271,73106,0.7812559286662872
0.7936798717655141,0.873267825648778,0.831573896353167,0.297191887675507,0.702808112324493,0.7326223576461627,0.5852298566621426,0.19569899136164864,0.18651563035612265,381,901,503,3466,12.416219082893804,0.03154100012034178,0.0060066654199851036,0.6622332240228384,0.8505564704622282,0,Random Forest,groupkfold,7,11,5251,73126,0.7558560274233479
0.7901817323578003,0.8435374149659864,0.8159883012429929,0.30655226209048364,0.6934477379095164,0.7124357265282804,0.5750448385282351,0.16333797824110283,0.20148414408731308,393,889,621,3348,2.1704409171361476,0.007720333058387041,0.0014702595807250126,0.6556611319630412,0.8670581491784572,0,XGBoost,groupkfold,7,11,5251,73126,0.7558560274233479
0.7567258156840297,0.999244142101285,0.8612377850162867,0.00546021840873635,0.9945397815912637,0.7566177870881737,0.5023521802550107,0.046353024617722845,0.1838195688739011,7,1275,3,3966,31.21070508286357,0.4926784581039101,0.09382564427802516,0.5411758798394264,0.7793255349578674,50,CNN,groupkfold,7,11,5251,73126,0.7558560274233479
0.796521324755778,0.8549872122762149,0.8247193783150364,0.3559577677224736,0.6440422322775264,0.7286096256684492,0.6054724899993442,0.23001283824429394,0.17907909186401835,472,854,567,3343,12.469240250065923,0.031206124927848577,0.005959916907534106,0.7180927968275644,0.8721063034266457,0,Random Forest,groupkfold,8,7,5236,73141,0.7467532467532467
0.8152620140062786,0.8634271099744245,0.8386535834057881,0.4230769230769231,0.5769230769230769,0.7519098548510313,0.6432520165256738,0.3063593967614867,0.17211075871037007,561,765,534,3376,2.203240708913654,0.007302999962121248,0.0013947669904738824,0.7445253883571923,0.9015967817257251,0,XGBoost,groupkfold,8,7,5236,73141,0.7467532467532467
0.7467048710601719,0.9997442455242966,0.85489338436304,0.0,1.0,0.7465622612681436,0.4998721227621483,-0.008048687029585123,0.18940636467805308,0,1326,1,3909,31.55918979109265,0.690856667002663,0.13194359568423664,0.4835607349372958,0.7372924388195636,50,CNN,groupkfold,8,7,5236,73141,0.7467532467532467
0.7124546553808948,0.8531711555169418,0.7764891934633632,0.3286278938452851,0.6713721061547149,0.6753445635528331,0.5908995246811135,0.21185927457602158,0.22728863897396628,582,1189,507,2946,14.625837582862005,0.04333933303132653,0.008296196981494358,0.6299072501051876,0.7507597880711496,0,Random Forest,groupkfold,9,12,5224,73153,0.6609877488514548
0.7013446567586695,0.8609904430929627,0.7730109204368175,0.28514963297571994,0.7148503670242801,0.6657733537519143,0.5730700380343413,0.1768589634369492,0.2252739266739305,505,1266,480,2973,2.7032914999872446,0.008707040920853615,0.0016667383079735098,0.6761380499906546,0.8268554908117938,0,XGBoost,groupkfold,9,12,5224,73153,0.6609877488514548
0.6612409038682497,1.0,0.7960806916426513,0.001129305477131564,0.9988706945228685,0.6613705972434916,0.5005646527385658,0.027326598296199264,0.22433198104610697,2,1769,0,3453,33.61667229188606,0.5891806248109788,0.11278342741404647,0.5240517047263544,0.7090477765165895,50,CNN,groupkfold,9,12,5224,73153,0.6609877488514548
0.7109207708779444,0.8783068783068783,0.7857988165680473,0.325,0.675,0.6868512110726643,0.6016534391534392,0.2455234850900149,0.2200688437139562,585,1215,414,2988,12.726223124889657,0.031337999971583486,0.006024221447824584,0.6529958684433993,0.7587619029311576,0,Random Forest,groupkfold,10,4,5202,73175,0.6539792387543253
0.7059694129255056,0.8412698412698413,0.7677038626609443,0.3377777777777778,0.6622222222222223,0.6670511341791618,0.5895238095238096,0.20538046895797157,0.21980223307095853,608,1192,540,2862,2.1615860420279205,0.007627291837707162,0.0014662229599590854,0.6891777712456725,0.8202433121965613,0,XGBoost,groupkfold,10,4,5202,73175,0.6539792387543253
0.6539792387543253,1.0,0.7907949790794979,0.0,1.0,0.6539792387543253,0.5,0.0,0.22987695496138535,0,1800,0,3402,32.26724000019021,1.4165407500695437,0.272306949263657,0.47119129270363835,0.6514352872874061,50,CNN,groupkfold,10,4,5202,73175,0.6539792387543253
0.7629402032616402,0.8771739130434782,0.8160788775123247,0.32275489534098584,0.6772451046590142,0.7180778918814184,0.5999644041922321,0.23529561255489803,0.19600653943034296,478,1003,452,3228,14.576862000161782,0.0330612501129508,0.006405977545621159,0.6821172349763673,0.8143493552917246,0,Random Forest,groupkfold,11,5,5161,73216,0.7130401085061034
0.7673136832015337,0.8701086956521739,0.8154845282057812,0.34436191762322754,0.6556380823767725,0.7192404572757217,0.6072353066377008,0.2465849506464082,0.20215797619140913,510,971,478,3202,2.215283165918663,0.007621499942615628,0.0014767486809950838,0.6827266755717348,0.8487113941200559,0,XGBoost,groupkfold,11,5,5161,73216,0.7130401085061034
0.7131782945736435,1.0,0.832579185520362,0.0006752194463200541,0.9993247805536799,0.713233869405154,0.50033760972316,0.021944289762703552,0.20058510204824187,1,1480,0,3680,32.48387820809148,0.5370284169912338,0.10405510889192672,0.5920704833690514,0.779002395903694,50,CNN,groupkfold,11,5,5161,73216,0.7130401085061034
0.7690642290113062,0.8498139287612971,0.807425179946963,0.29046563192904656,0.7095343680709535,0.7018572825024438,0.5701397803451719,0.15859150637393712,0.2028891935483871,393,960,565,3197,13.405052207875997,0.04156854189932346,0.00812679216018054,0.6562797029304206,0.8396626497369171,0,Random Forest,groupkfold,12,14,5115,73262,0.7354838709677419
0.7765225933202358,0.8405103668261563,0.8072504467704876,0.32742054693274203,0.672579453067258,0.7047898338220919,0.5839654568794492,0.18384122538965111,0.19372719387772028,443,910,600,3162,2.220573666971177,0.007369708037003875,0.001440803135289125,0.7089436002378002,0.8847660299889648,0,XGBoost,groupkfold,12,14,5115,73262,0.7354838709677419
0.7354838709677419,1.0,0.8475836431226765,0.0,1.0,0.7354838709677419,0.5,0.0,0.19491022207045725,0,1353,0,3762,33.68333762488328,0.5839922500308603,0.11417248289948394,0.555019994161084,0.7726840393063483,50,CNN,groupkfold,12,14,5115,73262,0.7354838709677419
0.7394711067580804,0.8567375886524823,0.7937968195557892,0.31088082901554404,0.689119170984456,0.6904714933912014,0.5838092088340132,0.19496828129711083,0.2098439041231012,480,1064,505,3020,13.933413540944457,0.030036707874387503,0.005925568726452456,0.6585057693014368,0.804713193344207,0,Random Forest,groupkfold,13,2,5069,73308,0.69540343262971
0.7467484662576687,0.8632624113475177,0.8007894736842105,0.3316062176165803,0.6683937823834197,0.7013217597159203,0.597434314482049,0.22588538862427393,0.20438830017041873,512,1032,482,3043,2.229086000006646,0.0074832921382039785,0.0014762856851852394,0.701717745195311,0.8571527054649879,0,XGBoost,groupkfold,13,2,5069,73308,0.69540343262971
0.69540343262971,1.0,0.8203397719339074,0.0,1.0,0.69540343262971,0.5,0.0,0.21171353389810443,0,1544,0,3525,33.44246758380905,0.5149185832124203,0.10158188660730329,0.5122616029103737,0.7052323939682559,50,CNN,groupkfold,13,2,5069,73308,0.69540343262971
0.7466531952513261,0.8469914040114613,0.7936635790038932,0.3209207853757617,0.6790792146242384,0.690557680692571,0.5839560946936115,0.190836818892736,0.20999143346084156,474,1003,534,2956,12.721919457893819,0.031887416960671544,0.006419854431381426,0.6559736397444677,0.8150857688779949,0,Random Forest,groupkfold,14,6,4967,73410,0.702637406885444
0.7493092187892489,0.854727793696275,0.7985544103868291,0.3243060257278267,0.6756939742721734,0.6970002013287698,0.5895169097120508,0.20516510257037904,0.2077592075646484,479,998,507,2983,2.288053167052567,0.00715829199180007,0.0014411701211596677,0.6848057997218089,0.8507945834806844,0,XGBoost,groupkfold,14,6,4967,73410,0.702637406885444
0.7007389162561576,0.9782234957020057,0.816551064338675,0.012863913337846988,0.987136086662153,0.6911616670022146,0.49554370451992635,-0.029743460418549014,0.2103776988497491,19,1458,76,3414,32.272801208077,0.5119034161325544,0.10306088506795942,0.5038523841209918,0.7125374152660411,50,CNN,groupkfold,14,6,4967,73410,0.702637406885444
0.8208469055374593,0.8473874806001035,0.8339060710194731,0.35,0.65,0.7372130487313734,0.5986937403000517,0.20634963240120197,0.17976992549335477,385,715,590,3276,14.300051290774718,0.03124929196201265,0.006292648401532954,0.6937648732540094,0.8849927802965882,0,Random Forest,groupkfold,15,1,4966,73411,0.7784937575513492
0.82416478271791,0.8486808070356958,0.8362431502485026,0.36363636363636365,0.6363636363636364,0.7412404349577124,0.6061585853360297,0.22110480545083824,0.172233682530265,400,700,585,3281,2.2504158751107752,0.007583291968330741,0.0015270422811781597,0.7361755161548229,0.9164121431683935,0,XGBoost,groupkfold,15,1,4966,73411,0.7784937575513492
0.7789643360870441,1.0,0.8757503681051082,0.0027272727272727275,0.9972727272727273,0.7790978654853,0.5013636363636363,0.046091736670777574,0.17385230175895752,3,1097,0,3866,33.67027270793915,0.717117500025779,0.14440545711352779,0.5756739406480742,0.8217551499427653,50,CNN,groupkfold,15,1,4966,73411,0.7784937575513492
