model,training_time_sec_mean,inference_time_sec_mean,epochs_mean
CNN,32.17099540817241,0.615360066620633,50.0
Random Forest,13.009977838598813,0.03395939447606599,0.0
XGBoost,2.2395510112090657,0.0076880221876004795,0.0
