model,naive_f1,run_level_mean_f1,pooled_run_level_f1,absolute_f1_gap_naive_minus_run_mean,relative_f1_decrease,naive_roc_auc,run_level_mean_roc_auc,pooled_run_level_roc_auc,absolute_roc_auc_gap_naive_minus_run_mean,fpr_change_run_mean_minus_naive,precision_change_run_mean_minus_naive,recall_change_run_mean_minus_naive
Random Forest,0.9445120185346076,0.8067379585730214,0.8072295247724974,0.1377740599615862,0.14586797971648896,0.9724224869896252,0.6767534011217227,0.6776212244982851,0.2956690858679025,0.4432696358125949,-0.1545096756835097,-0.1157662148083004
XGBoost,0.9084192439862544,0.8049847939919796,0.8055070152520232,0.10343444999427476,0.11386201985373161,0.9224338013143072,0.7044786863477569,0.7055266995289998,0.2179551149665503,0.3034437504172725,-0.10756888486888905,-0.09673986352042019
CNN,0.8305978314930866,0.8294596000774306,0.8299834935430624,0.0011382314156560547,0.00137037609839405,0.5580662347157754,0.5272208053714187,0.5210410418983682,0.030845429344356745,-0.002038138919624788,0.00027457102260175503,-0.0018827048513755384
