model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,brier_mean,brier_std,latency_ms_per_record_mean,latency_ms_per_record_std,training_time_sec_mean,training_time_sec_std,epochs_mean,epochs_std
CNN,0.7105501749695224,0.042708335340206134,0.9981172951486245,0.005577652186536327,0.8294596000774306,0.029271632155593783,0.9976683477255176,0.0038039230088280068,0.5272208053714187,0.03751653951457866,0.7371537620375774,0.04801680994152705,0.7098096844945806,0.04294413551150704,0.5002244737115534,0.0015745229089018393,0.010764776048634033,0.022217398035627736,0.20436015870361288,0.0182919848958038,0.11802583816117448,0.04501280510478228,32.17099540817241,0.9792495798947642,50.0,0.0
Random Forest,0.7600724892071239,0.034969083340881425,0.8607008510599632,0.012305351214897424,0.8067379585730214,0.018224557506290352,0.6667800555366923,0.028295909206340786,0.6767534011217227,0.028791835339085522,0.8256036830446121,0.036721835807687654,0.7081073252880121,0.019060943349495516,0.5969603977616356,0.01537763126305031,0.22078686717778626,0.03684285350738106,0.19932375979647549,0.013916929290775707,0.006502878361453627,0.0009042576417987591,13.009977838598813,0.9522893545271994,0.0,0.0
XGBoost,0.7629580086547114,0.03843189059110789,0.853020615521496,0.009314059065324334,0.8049847939919796,0.021873054830803863,0.649642752471866,0.038438565887436334,0.7044786863477569,0.027589594282480385,0.8643543759071063,0.026924686407090958,0.7075415218991948,0.024488414562808238,0.6016889315248151,0.019666399411302167,0.22661679312173916,0.04097172382311092,0.19933385143034957,0.015303864239417281,0.0014720024076413268,9.895289297975158e-05,2.2395510112090657,0.13814042681795635,0.0,0.0
