feature,permutation_importance,shap_abs_Random Forest,shap_signed_Random Forest,shap_abs_XGBoost,shap_signed_XGBoost,rank_shap_abs_Random Forest,rank_shap_abs_XGBoost,permutation_rank,relay,signal_family,physical_description
R1-PA8:VH,0.0,5.458091121355009e-05,5.3340206207800565e-05,0.0,0.0,113.0,113.0,60.0,R1,sequence voltage angles,sequence voltage angles
R1-PM8:V,0.0,0.00020135977404769722,0.00010085270688032926,0.0,0.0,104.0,113.0,60.0,R1,sequence voltage angles,sequence voltage angles
R1-PA9:VH,0.0,3.0318092900101318e-05,3.0318092900101318e-05,1.0900734e-05,1.0900734e-05,115.0,111.0,60.0,R1,sequence voltage angles,sequence voltage angles
R2-PA8:VH,0.0,7.025340363115814e-05,5.162242285783151e-05,0.0,0.0,112.0,113.0,60.0,R2,sequence voltage angles,sequence voltage angles
R3-PA8:VH,0.0,5.144224472987265e-05,2.592300383059554e-05,0.0,0.0,114.0,113.0,60.0,R3,sequence voltage angles,sequence voltage angles
R2-PA9:VH,0.0,2.0105167139968994e-05,8.958607883244837e-06,0.0,0.0,118.0,113.0,60.0,R2,sequence voltage angles,sequence voltage angles
R2-PM9:V,0.0,0.00010536053073538116,6.571076816555999e-05,0.0,0.0,110.0,113.0,60.0,R2,sequence voltage angles,sequence voltage angles
R3-PM3:V,-0.0001864034235489198,0.0036017732387732676,-0.0003753889872184507,0.13351656,0.07813736,23.0,7.0,84.0,R3,phase A-C voltage phase angles,phase A-C voltage phase angles
R3-PM7:V,-0.0002547318834212553,0.005702655584220638,0.0036730019840163523,0.073663324,-0.06761449,12.0,21.0,85.0,R3,sequence voltage angles,sequence voltage angles
R3-PM8:V,-0.0003321038857684977,0.0008247898643383929,0.0003630390071975402,0.007583068,-0.007583068,93.0,96.0,86.0,R3,sequence voltage angles,sequence voltage angles
R4-PA7:VH,-0.0005493792816677279,0.002436405125952657,0.00011692962555559183,0.022417964,0.009450816,54.0,81.0,87.0,R4,sequence voltage angles,sequence voltage angles
R4-PM9:V,-0.0006642077715369954,0.0001266950019648078,7.828515447745903e-06,0.0009829438,-0.0009829438,108.0,103.0,88.0,R4,sequence voltage angles,sequence voltage angles
R4-PM11:I,-0.0007741030781807989,0.002654542989032828,0.0005366491806017684,0.04710853,0.006811742,44.0,37.0,89.0,R4,sequence current angles,sequence current angles
R1-PA:Z,-0.0007958839440348808,0.002311416219917204,-0.0011066381081633323,0.044731025,-0.0054484545,60.0,40.0,90.0,R1,impedance,apparent impedance
R3:DF,-0.0008897952032639212,0.00041765791601707636,-2.5048501790803477e-05,0.0059749787,0.003604863,99.0,99.0,91.0,R3,frequency change,frequency change
R2-PM7:V,-0.0008946651174547738,0.008769320869166184,0.004190902974173057,0.07470713,-0.0369891,7.0,20.0,92.0,R2,sequence voltage angles,sequence voltage angles
R1:DF,-0.0011114206554437734,0.0005346258062186419,5.6191708278554335e-05,0.020773198,0.004918011,98.0,85.0,93.0,R1,frequency change,frequency change
R2-PM12:I,-0.0012218974165043805,0.001881731649776646,-0.00010713683296141832,0.009517722,-0.003303666,76.0,94.0,94.0,R2,sequence current angles,sequence current angles
R2-PA5:IH,-0.0013112306757846915,0.0023626061809880767,0.00035089560071409966,0.051185213,0.014536997,56.0,35.0,95.0,R2,phase A-C current phase angles,phase A-C current phase angles
R1-PM2:V,-0.0013884710573006554,0.015183801079865633,0.0037579398040516877,0.4100452,0.078620955,3.0,4.0,96.0,R1,phase A-C voltage phase angles,phase A-C voltage phase angles
R1-PA12:IH,-0.0017574485844748743,0.0008174221976800418,8.101702354658543e-05,0.040295888,0.0060118996,94.0,49.0,97.0,R1,sequence current angles,sequence current angles
R1-PA5:IH,-0.001872517326787404,0.002476360209164244,0.0003505616831558887,0.057103425,-0.0048965435,51.0,31.0,98.0,R1,phase A-C current phase angles,phase A-C current phase angles
R4-PM3:V,-0.001997177788394178,0.012055750318952516,0.0010627287857975193,0.034875575,-0.0077814506,6.0,61.0,99.0,R4,phase A-C voltage phase angles,phase A-C voltage phase angles
R4-PA3:VH,-0.0025197962737922076,0.002918018504460947,0.00036351813719251626,0.041341748,-0.015223959,31.0,46.0,100.0,R4,phase A-C voltage phase angles,phase A-C voltage phase angles
R1-PA11:IH,-0.002656815739191054,0.0007377565328795917,-1.6545769199292512e-05,0.018506397,0.0033560074,97.0,89.0,101.0,R1,sequence current angles,sequence current angles
R4-PM12:I,-0.002753225209612875,0.002820736763388938,0.00024296601632117488,0.026672287,-0.016946165,36.0,76.0,102.0,R4,sequence current angles,sequence current angles
R4-PA4:IH,-0.0032087101602134905,0.0016589049743150844,1.1380252617578207e-05,0.019696519,0.0043321494,80.0,87.0,103.0,R4,phase A-C current phase angles,phase A-C current phase angles
R1-PA4:IH,-0.0032191563974182545,0.0014972940732863541,-2.5341318650909228e-05,0.034038752,-0.0032978004,81.0,64.0,104.0,R1,phase A-C current phase angles,phase A-C current phase angles
R2-PM10:I,-0.0033049287610435463,0.0026785356569365188,-0.0007725675856345516,0.028222475,-0.0010682107,42.0,71.0,105.0,R2,sequence current angles,sequence current angles
R3-PM11:I,-0.0035332089775840015,0.002605373353515914,0.0005962084591359587,0.038569354,-0.02019886,46.0,54.0,106.0,R3,sequence current angles,sequence current angles
R4-PA12:IH,-0.003752117743037642,0.0009248193335002604,-0.00023950697886134415,0.0342557,-0.004952574,91.0,62.0,107.0,R4,sequence current angles,sequence current angles
R4-PA11:IH,-0.003881195913926094,0.0009906533874801662,-3.942755132988656e-05,0.029630499,0.015862448,89.0,67.0,108.0,R4,sequence current angles,sequence current angles
R4-PA6:IH,-0.0038876938646249526,0.0021036293730273374,5.0202830725621876e-05,0.03888442,0.008435871,69.0,53.0,109.0,R4,phase A-C current phase angles,phase A-C current phase angles
R4-PA2:VH,-0.004093012824636233,0.002466422285349781,9.09143984445392e-05,0.046580028,0.007275239,52.0,38.0,110.0,R4,phase A-C voltage phase angles,phase A-C voltage phase angles
R1-PM6:I,-0.004185673340440277,0.002593113002354956,-0.000828221372710386,0.023438878,-0.0011934944,48.0,80.0,111.0,R1,phase A-C current phase angles,phase A-C current phase angles
R4-PM7:V,-0.0043873010024572,0.015155887267940933,-0.00102326810969568,0.067821205,0.05268274,4.0,26.0,112.0,R4,sequence voltage angles,sequence voltage angles
R3-PA12:IH,-0.004627573666131568,0.001043876172648971,-0.00028528276373841223,0.025001114,0.004315401,87.0,77.0,113.0,R3,sequence current angles,sequence current angles
R3-PM1:V,-0.005157673683889618,0.005568660712065279,0.0020880249261370962,0.75767016,0.7325228,13.0,2.0,114.0,R3,phase A-C voltage phase angles,phase A-C voltage phase angles
R1-PM3:V,-0.005244068096040944,0.0041172806128778805,0.0006220366956562329,0.04050918,0.010305268,17.0,48.0,115.0,R1,phase A-C voltage phase angles,phase A-C voltage phase angles
R2-PA12:IH,-0.005269493544666004,0.000979019271890855,-7.984134799198264e-05,0.044455454,0.0029315925,90.0,41.0,116.0,R2,sequence current angles,sequence current angles
R1-PA10:IH,-0.006274194187619408,0.0019321628961924198,0.00024573983817396516,0.033372875,-0.0015141489,75.0,65.0,117.0,R1,sequence current angles,sequence current angles
R3-PA6:IH,-0.006365188068768002,0.0019400373453181841,-0.00019410848687491294,0.036392737,0.0018342532,74.0,58.0,118.0,R3,phase A-C current phase angles,phase A-C current phase angles
R1-PA1:VH,-0.007143794564599748,0.002529945975195927,-6.0336900026818644e-05,0.043874912,0.03603513,49.0,42.0,119.0,R1,phase A-C voltage phase angles,phase A-C voltage phase angles
R1-PA3:VH,-0.007160600598885658,0.002151728638223389,3.211610906353918e-05,0.08064823,-0.013076794,68.0,19.0,120.0,R1,phase A-C voltage phase angles,phase A-C voltage phase angles
R1-PA2:VH,-0.007426413704688462,0.0026716187802745994,0.0007417089818112197,0.039726574,-0.010761062,43.0,51.0,121.0,R1,phase A-C voltage phase angles,phase A-C voltage phase angles
R4-PA1:VH,-0.008211859981119807,0.0023279122984076776,0.0005993600862973535,0.024929786,0.0064041778,59.0,78.0,122.0,R4,phase A-C voltage phase angles,phase A-C voltage phase angles
R3-PA5:IH,-0.008263572364435002,0.002046806893599796,0.00028876572888901345,0.07196996,-0.005583806,70.0,22.0,123.0,R3,phase A-C current phase angles,phase A-C current phase angles
R1-PM1:V,-0.008465693670251583,0.0042016375083047145,6.529429065084519e-05,0.12033296,0.023348354,16.0,8.0,124.0,R1,phase A-C voltage phase angles,phase A-C voltage phase angles
R2-PA:Z,-0.008527902486108485,0.0022580403255426647,-0.0010452820458840622,0.042625293,0.020200381,64.0,44.0,125.0,R2,impedance,apparent impedance
R4-PM5:I,-0.009733976621343177,0.003701700436457519,0.00021142393337496252,0.091077015,-0.017286379,22.0,15.0,126.0,R4,phase A-C current phase angles,phase A-C current phase angles
R2-PA2:VH,-0.010975002415328849,0.002950085125449362,-0.000199042856430545,0.053619284,-0.010888879,30.0,33.0,127.0,R2,phase A-C voltage phase angles,phase A-C voltage phase angles
R2-PA6:IH,-0.021468862872731788,0.002210018567950007,0.0005813701054360383,0.0692276,-0.005495696,67.0,24.0,128.0,R2,phase A-C current phase angles,phase A-C current phase angles
