model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std
Compact MLP,0.7453020062857043,0.037817122018820974,0.8971440487238074,0.025372448931994196,0.8135474568023321,0.02455746599512309,0.754551018837108,0.06902303364090778,0.6850058451340821,0.024264178497061265,0.8493314067369371,0.024656594430706304,0.5712965149433498,0.026408894314786487
Logistic Regression,0.7147912214904293,0.042772136923761785,0.9848669693645653,0.004637778193606131,0.8276948184311412,0.028824095395545226,0.9642018612178427,0.018528090610521346,0.6833313160183503,0.031424451196247864,0.8524464235675498,0.03145885442621333,0.5103325540733613,0.009202104133150932
Random Forest,0.7601953331924896,0.0352514530600743,0.8583554354600671,0.013228150304882495,0.8057819197655467,0.01896854170365509,0.6644647905088056,0.029453838829036256,0.6778481663370173,0.027694734510681145,0.8268093560947193,0.036509714840917105,0.5969453224756307,0.016704847958520612
XGBoost,0.7615627672470032,0.03756106592182067,0.8526210155390321,0.011113354667378224,0.8039706092860576,0.02005607102339978,0.6543280871784402,0.030554597287389625,0.7010354749284156,0.024425974733400496,0.8625522282743815,0.02736455190258618,0.5991464641802959,0.014809310695233918
