model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std
Compact MLP,0.7198344037034096,0.0443399133793184,0.9777901048343905,0.0061128746922515164,0.8284906052681477,0.029555313049569265,0.9326431634775181,0.01811131409028383,0.5396610925388544,0.005451763005177023,0.7308477439104958,0.041687238479939895,0.5225734706784363,0.007928289823112555
Logistic Regression,0.7097865742408052,0.0429150850732901,0.9916575619993578,0.0022521835237794548,0.8267055977990893,0.029334854940210316,0.9948917859546473,0.00237981047147029,0.5312370828624153,0.006343658368714033,0.7264466091225491,0.04206479242654531,0.4983828880223553,0.0018383989165992312
Random Forest,0.72063463988909,0.043106184382512645,0.9759725147896923,0.004691059340373289,0.8284774516337173,0.02955189790990321,0.9275010654418144,0.009604825208434175,0.5397050893061099,0.005429945137925611,0.7309561548327824,0.04149531353358609,0.524235724673939,0.005388716479092377
XGBoost,0.720642592953835,0.0431048578730355,0.9760107191831975,0.004735327721022604,0.828496335626909,0.029550506213119367,0.9275010654418144,0.009604825208434175,0.5397310132928627,0.005375549340003534,0.7309510796698429,0.04148215713014302,0.5242548268706916,0.005395716155355168
