precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition,feature_budget,placement,threshold_rule,seed,train_time_sec,model_path
0.703863432165319,0.9989798520785514,0.8258486190174995,1.0,0.4994899260392757,5569,3921,1648,0.5302485001101859,0.7396193552217031,1,10,Logistic Regression,clean,edge_r1,edge,fixed_0.5,42,0.590969834,RTS_Paper/outputs/models/logistic_regression_edge_r1_fold01.joblib
0.7193719593100398,0.8296352971180821,0.7705791780172925,0.7700242718446602,0.5298055126367109,5569,3921,1648,0.5489625349437804,0.7444501839165357,1,10,Random Forest,clean,edge_r1,edge,fixed_0.5,42,10.770955417,RTS_Paper/outputs/models/random_forest_edge_r1_fold01.joblib
0.7232104121475055,0.8502932925274165,0.7816199742116985,0.7742718446601942,0.5380107239336112,5569,3921,1648,0.5612636587159507,0.7575305320610075,1,10,XGBoost,clean,edge_r1,edge,fixed_0.5,42,0.7638764590000022,RTS_Paper/outputs/models/xgboost_edge_r1_fold01.joblib
0.7069464544138929,0.996684519255292,0.8271774790983173,0.9830097087378641,0.506837405258714,5569,3921,1648,0.5875272060079779,0.7811950071668641,1,10,Compact MLP,clean,edge_r1,edge,fixed_0.5,42,2.056971292,RTS_Paper/outputs/models/compact_mlp_edge_r1_fold01.joblib
0.7035120147874306,0.9986880083967462,0.825506994902939,1.0,0.4993440041983731,5415,3811,1604,0.521344238459218,0.7317761119994,2,3,Logistic Regression,clean,edge_r1,edge,fixed_0.5,42,0.4291524159999973,RTS_Paper/outputs/models/logistic_regression_edge_r1_fold02.joblib
0.7212897526501767,0.8569929152453424,0.7833073510013191,0.786783042394015,0.5351049364256637,5415,3811,1604,0.57867778075148,0.7615771026772624,2,3,Random Forest,clean,edge_r1,edge,fixed_0.5,42,8.129752582999998,RTS_Paper/outputs/models/random_forest_edge_r1_fold02.joblib
0.7287010400531091,0.8640776699029126,0.7906362545018008,0.7643391521197007,0.5498692588916059,5415,3811,1604,0.5895669838785351,0.7764246809185631,2,3,XGBoost,clean,edge_r1,edge,fixed_0.5,42,0.7099036659999989,RTS_Paper/outputs/models/xgboost_edge_r1_fold02.joblib
0.7043429844097996,0.9958016268695881,0.8250896836612676,0.993142144638404,0.501329741115592,5415,3811,1604,0.5831460773414143,0.7740261437425193,2,3,Compact MLP,clean,edge_r1,edge,fixed_0.5,42,1.4460130830000004,RTS_Paper/outputs/models/compact_mlp_edge_r1_fold02.joblib
0.6685403784897883,0.9994397759103641,0.801167620972269,0.9994350282485875,0.5000023738308883,5340,3570,1770,0.5933578629191789,0.7435525843964709,3,9,Logistic Regression,clean,edge_r1,edge,fixed_0.5,42,0.4037464999999969,RTS_Paper/outputs/models/logistic_regression_edge_r1_fold03.joblib
0.6988986784140969,0.8887955182072829,0.7824907521578298,0.772316384180791,0.558239567013246,5340,3570,1770,0.6160588077038726,0.7650109319513141,3,9,Random Forest,clean,edge_r1,edge,fixed_0.5,42,7.500724957999999,RTS_Paper/outputs/models/random_forest_edge_r1_fold03.joblib
