model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std
Compact MLP,0.7430680209773236,0.036755804353376414,0.9037440718738217,0.016311106617684812,0.8151127369189569,0.024189814719083835,0.7672677222462247,0.034566400851064175,0.6827228129921425,0.022332481920764976,0.8502873988594906,0.02515018798950506,0.5682381748137985,0.016910175924357434
Logistic Regression,0.7193946070102705,0.043225456320069376,0.9759983662953479,0.004825735591419494,0.8276416179632368,0.029488530137512566,0.9335633491359003,0.0198952359450116,0.6870339099809086,0.03051356596054551,0.8540700960946878,0.03184590474576367,0.5212175085797238,0.010303767917330868
Random Forest,0.7600724892071239,0.034969083340881425,0.8607008510599632,0.012305351214897425,0.8067379585730214,0.018224557506290345,0.6667800555366922,0.02829590920634079,0.6767534011217226,0.028791835339085508,0.825603683044612,0.03672183580768765,0.5969603977616356,0.015377631263050275
XGBoost,0.7621919731378575,0.03644167145507553,0.8514507864987827,0.013323780349083651,0.8038804522007847,0.021072243461137202,0.6519714941084573,0.03889808872917535,0.7015302393007637,0.031110024264343106,0.863069737745705,0.03061458961339436,0.5997396461951627,0.022480590946167275
