precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,threshold_rule,threshold_value,alerts_per_1000,false_alarms_per_1000,misses_per_1000_attacks
0.7141525265709491,0.9767916347870441,0.8250753985351141,0.9302184466019418,0.5232865940925512,5569,3921,1648,0.6951316102242592,0.8574666591481235,1,10,Logistic Regression,fixed_0.5,0.5,963.0095169689353,275.2738373137009,23.20836521295588
0.7135155233314743,0.9788319306299413,0.8253763440860215,0.9350728155339806,0.5218795575479804,5569,3921,1648,0.6951316102242592,0.8574666591481235,1,10,Logistic Regression,max_f1,0.48152068070132986,965.8825641946489,276.7103609265577,21.16806937005866
0.8333991314646664,0.538383065544504,0.6541679578555935,0.25606796116504854,0.6411575521897277,5569,3921,1648,0.6951316102242592,0.8574666591481235,1,10,Logistic Regression,max_youden_j,0.7175511868206788,454.83928892081167,75.77662057820075,461.61693445549605
0.8797289666854884,0.39734761540423363,0.5474349964862966,0.12924757281553398,0.6340500212943498,5569,3921,1648,0.6951316102242592,0.8574666591481235,1,10,Logistic Regression,constrained_fpr_10pct,0.7493466778499468,318.0104147961932,38.247441192314604,602.6523845957664
0.7476718403547672,0.8599846977811783,0.799905112086348,0.6905339805825242,0.584725358599327,5569,3921,1648,0.682168287884753,0.8383940619406165,1,10,Random Forest,fixed_0.5,0.5,809.8401867480696,204.34548392889207,140.01530221882172
0.7691345672836418,0.7842387146136189,0.7766132087384771,0.5600728155339806,0.6120829495398192,5569,3921,1648,0.682168287884753,0.8383940619406165,1,10,Random Forest,max_f1,0.605,717.9026755252289,165.73891183336326,215.76128538638105
0.7691345672836418,0.7842387146136189,0.7766132087384771,0.5600728155339806,0.6120829495398192,5569,3921,1648,0.682168287884753,0.8383940619406165,1,10,Random Forest,max_youden_j,0.605,717.9026755252289,165.73891183336326,215.76128538638105
0.7691345672836418,0.7842387146136189,0.7766132087384771,0.5600728155339806,0.6120829495398192,5569,3921,1648,0.682168287884753,0.8383940619406165,1,10,Random Forest,constrained_fpr_10pct,0.605,717.9026755252289,165.73891183336326,215.76128538638105
0.746971736204576,0.8492731446059678,0.7948442534908701,0.6844660194174758,0.5824035625942461,5569,3921,1648,0.6980697198059738,0.8624493236835935,1,10,XGBoost,fixed_0.5,0.5,800.5027832644998,202.549829412821,150.72685539403213
0.7598548972188633,0.8013261922978832,0.7800397219463754,0.6025485436893204,0.5993888243042814,5569,3921,1648,0.6980697198059738,0.8624493236835935,1,10,XGBoost,max_f1,0.578079104423523,742.5031423954032,178.30849344586102,198.67380770211682
0.7703587326525269,0.7503187962254527,0.7602067183462532,0.5321601941747572,0.6090793010253477,5569,3921,1648,0.6980697198059738,0.8624493236835935,1,10,XGBoost,max_youden_j,0.6386687755584717,685.7604596875561,157.47890105943617,249.6812037745473
0.7544315764594659,0.8140780413159908,0.7831207065750736,0.6304611650485437,0.5918084381337235,5569,3921,1648,0.6980697198059738,0.8624493236835935,1,10,XGBoost,constrained_fpr_10pct,0.5554347038269043,759.7414257496857,186.5685042197881,185.92195868400918
0.7318825703141039,0.9092068349910737,0.8109645131938126,0.7924757281553398,0.558365553417867,5569,3921,1648,0.689953028626044,0.8610106412734672,1,10,Compact MLP,fixed_0.5,0.5,874.6633147782367,234.51247979888672,90.7931650089263
