model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std
Compact MLP,0.7132104881133722,0.04227720007871378,0.985899180377807,0.008526892448112344,0.826981823058274,0.028352828541623076,0.9729517841862261,0.01931338465396495,0.5502239357253533,0.044474338733045675,0.7543830692392305,0.03913918138169012,0.5064736980957905,0.007451423736984501
Logistic Regression,0.7099500063229064,0.04293773874951306,0.9968988803602037,0.006265385490504383,0.8286412661784219,0.029746363199654874,0.9992967765805375,0.0006874165383014255,0.5305767961483044,0.04531476168775644,0.7377865825729616,0.04562092128861991,0.4988010518898331,0.00328513694656196
Random Forest,0.7262375385284868,0.04184171657110617,0.8367064342303218,0.02467091089214719,0.776748901702577,0.024801733412295374,0.7732940397207957,0.02835479323447203,0.5636404108436633,0.032327284467619594,0.7542700572906382,0.04660095383651389,0.5317061972547631,0.01970411768674811
XGBoost,0.7323583800383989,0.039386708310665215,0.8575993756997718,0.014491378346528958,0.789356894691225,0.02166118731850612,0.769002625787187,0.02066954557758953,0.5792527723963983,0.035946870044007685,0.7693254255054006,0.04541314377425272,0.5442983749562924,0.011290064811505282
