precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition,feature_budget,placement,threshold_rule,seed,train_time_sec,model_path
0.7141525265709491,0.9767916347870441,0.8250753985351141,0.9302184466019418,0.5232865940925512,5569,3921,1648,0.6951316102242592,0.8574666591481235,1,10,Logistic Regression,clean,128,central,fixed_0.5,42,4.593246834,RTS_Paper/outputs/models/logistic_regression_fold01.joblib
0.7476718403547672,0.8599846977811783,0.799905112086348,0.6905339805825242,0.584725358599327,5569,3921,1648,0.682168287884753,0.8383940619406165,1,10,Random Forest,clean,128,central,fixed_0.5,42,16.896670458000003,RTS_Paper/outputs/models/random_forest_fold01.joblib
0.746971736204576,0.8492731446059678,0.7948442534908701,0.6844660194174758,0.5824035625942461,5569,3921,1648,0.6980697198059738,0.8624493236835935,1,10,XGBoost,clean,128,central,fixed_0.5,42,2.139541416,RTS_Paper/outputs/models/xgboost_fold01.joblib
0.7318825703141039,0.9092068349910737,0.8109645131938126,0.7924757281553398,0.558365553417867,5569,3921,1648,0.689953028626044,0.8610106412734672,1,10,Compact MLP,clean,128,central,fixed_0.5,42,5.574662625000002,RTS_Paper/outputs/models/compact_mlp_fold01.joblib
0.7112890922959573,0.9787457360272894,0.8238542241855329,0.9438902743142145,0.5174277308565375,5415,3811,1604,0.6973161755804663,0.8600614373990232,2,3,Logistic Regression,clean,128,central,fixed_0.5,42,5.321470374999997,RTS_Paper/outputs/models/logistic_regression_fold02.joblib
0.7573844419391206,0.881395959065862,0.8146980354111084,0.6708229426433915,0.6052865082112352,5415,3811,1604,0.6750586960831979,0.8160605601010655,2,3,Random Forest,clean,128,central,fixed_0.5,42,19.392905208000002,RTS_Paper/outputs/models/random_forest_fold02.joblib
0.7618611047444419,0.8722120178430858,0.8133104966968436,0.6477556109725686,0.6122282034352586,5415,3811,1604,0.7049734951521746,0.862726143888613,2,3,XGBoost,clean,128,central,fixed_0.5,42,2.150952375000003,RTS_Paper/outputs/models/xgboost_fold02.joblib
0.7424210303158787,0.918918918918919,0.8212945590994372,0.7574812967581047,0.5807188110804071,5415,3811,1604,0.6895091711812047,0.8519281183395508,2,3,Compact MLP,clean,128,central,fixed_0.5,42,3.303594957999998,RTS_Paper/outputs/models/compact_mlp_fold02.joblib
0.6785159285159286,0.9784313725490196,0.8013305804083506,0.9350282485875706,0.5217015619807245,5340,3570,1770,0.7097065945022076,0.8449330286971118,3,9,Logistic Regression,clean,128,central,fixed_0.5,42,5.016550791999997,RTS_Paper/outputs/models/logistic_regression_fold03.joblib
0.7366039533222196,0.8663865546218488,0.7962414725189857,0.6248587570621469,0.6207638987798509,5340,3570,1770,0.7273101330927851,0.8374361655885018,3,9,Random Forest,clean,128,central,fixed_0.5,42,17.208107249999998,RTS_Paper/outputs/models/random_forest_fold03.joblib
0.753016498399409,0.8565826330532212,0.8014676975494692,0.5666666666666667,0.6449579831932772,5340,3570,1770,0.7607711785279083,0.8778679777318181,3,9,XGBoost,clean,128,central,fixed_0.5,42,2.142266959000011,RTS_Paper/outputs/models/xgboost_fold03.joblib
0.7234232226431915,0.9092436974789916,0.8057589673575772,0.7011299435028249,0.6040568769880834,5340,3570,1770,0.7152487774770926,0.8472758066456891,3,9,Compact MLP,clean,128,central,fixed_0.5,42,5.165158332999994,RTS_Paper/outputs/models/compact_mlp_fold03.joblib
0.7223968565815324,0.9750729249535932,0.8299289019298047,0.9151554404145078,0.5299587422695428,5315,3771,1544,0.6979094961136462,0.8588084872376679,4,8,Logistic Regression,clean,128,central,fixed_0.5,42,5.179454082999996,RTS_Paper/outputs/models/logistic_regression_fold04.joblib
0.7677465459742735,0.854680456112437,0.8088844271552265,0.6314766839378239,0.6116018860873066,5315,3771,1544,0.6875480040615387,0.8304612503117248,4,8,Random Forest,clean,128,central,fixed_0.5,42,17.432351291000003,RTS_Paper/outputs/models/random_forest_fold04.joblib
0.7652740883844482,0.8403606470432247,0.8010616784630941,0.6295336787564767,0.605413484143374,5315,3771,1544,0.6987582834915492,0.8529607729360729,4,8,XGBoost,clean,128,central,fixed_0.5,42,2.049064708000003,RTS_Paper/outputs/models/xgboost_fold04.joblib
0.731728475384949,0.8947228851763458,0.8050584586017657,0.8011658031088082,0.5467785410337688,5315,3771,1544,0.6723995023378578,0.8196805065877342,4,8,Compact MLP,clean,128,central,fixed_0.5,42,4.156709540999998,RTS_Paper/outputs/models/compact_mlp_fold04.joblib
