precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition,feature_budget,placement,threshold_rule,seed,train_time_sec
0.7078039927404719,0.9946442234123948,0.8270596967447779,0.9769417475728155,0.5088512379197896,5569,3921,1648,0.6973080908624955,0.8561104231181356,1,10,Logistic Regression,clean,64,central,fixed_0.5,42,2.412544500000001
0.7501117568171658,0.8559041060953838,0.7995235259082787,0.6783980582524272,0.5887530239214783,5569,3921,1648,0.6836024066329424,0.8441722445091935,1,10,Random Forest,clean,64,central,fixed_0.5,42,13.877872833999998
0.7455757297173063,0.8273399642948227,0.7843326885880078,0.6717233009708737,0.5778083316619744,5569,3921,1648,0.6836698026310903,0.857248874026457,1,10,XGBoost,clean,64,central,fixed_0.5,42,1.328667166999999
0.7387168589354381,0.9308849783218567,0.8237418190024826,0.783373786407767,0.5737555959570448,5569,3921,1648,0.703495523234364,0.8621961359984436,1,10,Compact MLP,clean,64,central,fixed_0.5,42,2.744220708999997
0.7072023163228375,0.996684519255292,0.8273525987085847,0.9817961165048543,0.5074442013752188,5569,3921,1648,0.6271628621587023,0.7888495279311785,1,10,Logistic Regression,clean,32,central,fixed_0.5,42,0.3663288329999972
0.7444568868980963,0.8477429227237949,0.7927498211304556,0.6923543689320388,0.577694276895878,5569,3921,1648,0.6841619249597016,0.8502672395784381,1,10,Random Forest,clean,32,central,fixed_0.5,42,8.272034667
0.7433191107118796,0.8441724049987248,0.7905421542870791,0.6935679611650486,0.5753022219168381,5569,3921,1648,0.6923053888323516,0.859847434378872,1,10,XGBoost,clean,32,central,fixed_0.5,42,0.7989484580000052
0.7389417114510128,0.9117572047946952,0.8163032309624386,0.7663834951456311,0.5726868548245321,5569,3921,1648,0.7135755194211898,0.8640024399999768,1,10,Compact MLP,clean,32,central,fixed_0.5,42,2.5231909580000007
0.7042633567188343,0.9984697781178271,0.8259493670886076,0.9975728155339806,0.5004484812919233,5569,3921,1648,0.6194380891539953,0.7861941868754451,1,10,Logistic Regression,clean,16,central,fixed_0.5,42,0.21995474999999942
0.7582559896395424,0.8959449120122418,0.8213701192424596,0.6796116504854369,0.6081666307634025,5569,3921,1648,0.7199751215139788,0.8653291535218202,1,10,Random Forest,clean,16,central,fixed_0.5,42,5.816287458000005
0.7456276289572725,0.8589645498597297,0.7982934344631429,0.6972087378640777,0.580877905997826,5569,3921,1648,0.6980547085273966,0.8613699982176303,1,10,XGBoost,clean,16,central,fixed_0.5,42,0.536976291000002
0.7471034758290052,0.9538383065544503,0.8379074717150219,0.7682038834951457,0.5928172115296524,5569,3921,1648,0.734097794301533,0.878083594582484,1,10,Compact MLP,clean,16,central,fixed_0.5,42,2.287535499999997
0.7047494390426328,0.9889792705326685,0.8230156130581942,0.9844139650872819,0.5022826527226933,5415,3811,1604,0.6925274062285902,0.8564077858036687,2,3,Logistic Regression,clean,64,central,fixed_0.5,42,2.3908037500000034
0.7544338335607094,0.8706376279191813,0.808381045194299,0.6733167082294265,0.5986604598448775,5415,3811,1604,0.6787342356520141,0.8263783369229736,2,3,Random Forest,clean,64,central,fixed_0.5,42,13.356269292
0.7549745488199907,0.8562057202833901,0.8024099348333948,0.6602244389027432,0.5979906406903235,5415,3811,1604,0.7038666453781579,0.8639381906468124,2,3,XGBoost,clean,64,central,fixed_0.5,42,1.6760177920000103
0.7350052246603971,0.9228548937286801,0.8182875756165658,0.7905236907730673,0.5661656014778064,5415,3811,1604,0.7005881386798027,0.8594074597957673,2,3,Compact MLP,clean,64,central,fixed_0.5,42,6.093089042000003
