precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition,feature_budget,placement,threshold_rule,seed,train_time_sec,model_path
0.7105407882676443,0.9885233358837031,0.8267918088737202,0.9581310679611651,0.5151961339612691,5569,3921,1648,0.6944721972550097,0.8575675211364914,1,10,Logistic Regression,clean,pmu_only,central,fixed_0.5,42,5.157858417000001,RTS_Paper/outputs/models/logistic_regression_pmu_only_fold01.joblib
0.7489399687569739,0.8559041060953838,0.798857414901214,0.6826456310679612,0.5866292375137113,5569,3921,1648,0.6838746988458957,0.8403327451524873,1,10,Random Forest,clean,pmu_only,central,fixed_0.5,42,25.458851541999998,RTS_Paper/outputs/models/random_forest_pmu_only_fold01.joblib
0.7557550644567219,0.8372864065289467,0.7944343617664852,0.6438106796116505,0.5967378634586481,5569,3921,1648,0.699852889469944,0.862897549050876,1,10,XGBoost,clean,pmu_only,central,fixed_0.5,42,1.9990783340000036,RTS_Paper/outputs/models/xgboost_pmu_only_fold01.joblib
0.7400729770336982,0.8793675082887019,0.8037296037296038,0.7348300970873787,0.5722687056006617,5569,3921,1648,0.6694830610875471,0.850765292366755,1,10,Compact MLP,clean,pmu_only,central,fixed_0.5,42,5.914350249999998,RTS_Paper/outputs/models/compact_mlp_pmu_only_fold01.joblib
0.7065360708231305,0.9842561007609552,0.8225877192982456,0.9713216957605985,0.5064672025001783,5415,3811,1604,0.6900848443048767,0.8566566527323358,2,3,Logistic Regression,clean,pmu_only,central,fixed_0.5,42,5.031837000000003,RTS_Paper/outputs/models/logistic_regression_pmu_only_fold02.joblib
0.7604871447902571,0.8848071372343217,0.8179502728926622,0.6620947630922693,0.6113561870710262,5415,3811,1604,0.678546025385238,0.8182041129594421,2,3,Random Forest,clean,pmu_only,central,fixed_0.5,42,21.853986791999993,RTS_Paper/outputs/models/random_forest_pmu_only_fold02.joblib
0.7598173515981735,0.8732616111256888,0.8125991942375779,0.655860349127182,0.6087006309992533,5415,3811,1604,0.7128186978107081,0.8673192520416865,2,3,XGBoost,clean,pmu_only,central,fixed_0.5,42,6.939559332999991,RTS_Paper/outputs/models/xgboost_pmu_only_fold02.joblib
0.7626929098635652,0.8947782734190501,0.8234725911615551,0.6614713216957606,0.6166534758616448,5415,3811,1604,0.714322498660198,0.8606319822574192,2,3,Compact MLP,clean,pmu_only,central,fixed_0.5,42,8.484467624999994,RTS_Paper/outputs/models/compact_mlp_pmu_only_fold02.joblib
0.6744806556127311,0.9913165266106443,0.8027673811954179,0.9649717514124294,0.5131723875991074,5340,3570,1770,0.708477583123645,0.8460925261130345,3,9,Logistic Regression,clean,pmu_only,central,fixed_0.5,42,4.528984082999997,RTS_Paper/outputs/models/logistic_regression_pmu_only_fold03.joblib
0.7310164246607951,0.8602240896358544,0.7903744691802856,0.6384180790960452,0.6109030052699046,5340,3570,1770,0.72409944768868,0.8324314830892948,3,9,Random Forest,clean,pmu_only,central,fixed_0.5,42,24.764870416999997,RTS_Paper/outputs/models/random_forest_pmu_only_fold03.joblib
0.7278191873046406,0.8478991596638655,0.7832837365765299,0.63954802259887,0.6041755685324978,5340,3570,1770,0.741615787557961,0.8699541466769289,3,9,XGBoost,clean,pmu_only,central,fixed_0.5,42,2.0308993329999936,RTS_Paper/outputs/models/xgboost_pmu_only_fold03.joblib
0.7293923692887423,0.8675070028011205,0.7924769703172978,0.6491525423728813,0.6091772302141196,5340,3570,1770,0.7156361075503648,0.8502967640218929,3,9,Compact MLP,clean,pmu_only,central,fixed_0.5,42,6.499180458000012,RTS_Paper/outputs/models/compact_mlp_pmu_only_fold03.joblib
0.7180974477958236,0.984884645982498,0.8305937604830593,0.944300518134715,0.5202920639238915,5315,3771,1544,0.6988616768548632,0.8591467195988818,4,8,Logistic Regression,clean,pmu_only,central,fixed_0.5,42,5.498857666999996,RTS_Paper/outputs/models/logistic_regression_pmu_only_fold04.joblib
0.7683187099834006,0.8591885441527446,0.8112168252378568,0.6327720207253886,0.613208261713678,5315,3771,1544,0.6929485897969643,0.8352297678339294,4,8,Random Forest,clean,pmu_only,central,fixed_0.5,42,24.605317834000004,RTS_Paper/outputs/models/random_forest_pmu_only_fold04.joblib
0.7570888468809074,0.8496420047732697,0.8006997375984006,0.6658031088082902,0.5919194479824897,5315,3771,1544,0.690400424290639,0.8475184923681436,4,8,XGBoost,clean,pmu_only,central,fixed_0.5,42,6.831697083999984,RTS_Paper/outputs/models/xgboost_pmu_only_fold04.joblib
0.7210676446617766,0.9384778573322726,0.8155317432883973,0.8866580310880829,0.5259099131220949,5315,3771,1544,0.6809615720188018,0.821402719010754,4,8,Compact MLP,clean,pmu_only,central,fixed_0.5,42,4.034916541000001,RTS_Paper/outputs/models/compact_mlp_pmu_only_fold04.joblib
0.6486175115207373,0.9891654465592972,0.7834860257451003,0.983342289091886,0.5029115787337055,5276,3415,1861,0.7157846621292572,0.8352724499709245,5,15,Logistic Regression,clean,pmu_only,central,fixed_0.5,42,6.180760915999997,RTS_Paper/outputs/models/logistic_regression_pmu_only_fold05.joblib
0.7230012300123001,0.8606149341142021,0.7858288770053476,0.6050510478237506,0.6277819431452257,5276,3415,1861,0.7181420590482139,0.8084734214017208,5,15,Random Forest,clean,pmu_only,central,fixed_0.5,42,22.81839958399999,RTS_Paper/outputs/models/random_forest_pmu_only_fold05.joblib
0.7200098936433341,0.852415812591508,0.7806382408152319,0.6082751209027405,0.6220703458443838,5276,3415,1861,0.7356564544794396,0.8493047898331109,5,15,XGBoost,clean,pmu_only,central,fixed_0.5,42,2.0892406670000128,RTS_Paper/outputs/models/xgboost_pmu_only_fold05.joblib
0.6886644219977553,0.898389458272328,0.7796696315120711,0.7452982267598065,0.5765456157562607,5276,3415,1861,0.6981159077087447,0.828218417088559,5,15,Compact MLP,clean,pmu_only,central,fixed_0.5,42,7.171181791999999,RTS_Paper/outputs/models/compact_mlp_pmu_only_fold05.joblib
0.7857004830917874,0.9873725109276348,0.8750672549230604,0.9618386816999133,0.5127669146138607,5271,4118,1153,0.6467458036492424,0.8817812966320064,6,13,Logistic Regression,clean,pmu_only,central,fixed_0.5,42,6.4975025420000065,RTS_Paper/outputs/models/logistic_regression_pmu_only_fold06.joblib
0.8201929865850789,0.8462846041767849,0.8330345404565556,0.6626192541196878,0.5918326750285485,5271,4118,1153,0.6511757237807321,0.8621734353039547,6,13,Random Forest,clean,pmu_only,central,fixed_0.5,42,21.227599583,RTS_Paper/outputs/models/random_forest_pmu_only_fold06.joblib
0.8222274546738875,0.8479844584749878,0.8349073520621638,0.6548135299219427,0.5965854642765225,5271,4118,1153,0.6895855649493456,0.8969565360847367,6,13,XGBoost,clean,pmu_only,central,fixed_0.5,42,5.845690917000013,RTS_Paper/outputs/models/xgboost_pmu_only_fold06.joblib
0.8071636817992504,0.9412336085478388,0.8690582959641255,0.803122289679098,0.5690556594343704,5271,4118,1153,0.655565206292936,0.8677724751779265,6,13,Compact MLP,clean,pmu_only,central,fixed_0.5,42,3.5701087079999922,RTS_Paper/outputs/models/compact_mlp_pmu_only_fold06.joblib
0.7614075792730085,0.9921894683799446,0.8616125150421179,0.9625585023400937,0.5148154830199255,5251,3969,1282,0.7089968708347729,0.8826438394789546,7,11,Logistic Regression,clean,pmu_only,central,fixed_0.5,42,7.677794082999981,RTS_Paper/outputs/models/logistic_regression_pmu_only_fold07.joblib
0.7950011465260262,0.873519778281683,0.8324129651860744,0.6973478939157566,0.5880859421829632,5251,3969,1282,0.6643892664247764,0.853022423287316,7,11,Random Forest,clean,pmu_only,central,fixed_0.5,42,19.44521400000002,RTS_Paper/outputs/models/random_forest_pmu_only_fold07.joblib
0.793760419147416,0.8397581254724111,0.8161116552399609,0.6755070202808112,0.5821255525958,5251,3969,1282,0.6656225961812472,0.8696684482333787,7,11,XGBoost,clean,pmu_only,central,fixed_0.5,42,4.098985499999969,RTS_Paper/outputs/models/xgboost_pmu_only_fold07.joblib
